word,emotion,polarity,social,moral,motion_self,thought,color,taste_smell,tactile,visual_form,auditory,space,quantity,time
empire,2.0,3.4,2.85,2.69,1.4,2.86,1.9,1.82,2.4,2.4,1.9,3.5,4.2,4.1
empty,3.45,3.2,2.0,2.69,1.8,2.36,2.0,1.64,2.2,2.3,1.8,2.29,3.9,2.9
enemy,3.54,4.4,5.0,3.46,1.2,2.72,1.9,1.82,2.6,4.5,2.3,2.22,2.5,2.7
engagement,3.82,5.4,5.23,3.39,1.8,4.07,2.0,2.0,1.5,2.1,1.8,3.72,2.3,4.5
entrance,1.82,3.2,2.3,2.77,2.1,2.43,2.0,1.64,2.2,4.6,2.3,4.07,3.4,2.3
entree,2.09,3.1,2.31,1.85,1.7,2.15,2.6,4.0,2.2,3.9,1.6,4.0,3.1,3.4
envy,5.82,3.6,4.23,4.46,2.8,5.29,3.3,1.64,1.4,2.0,1.7,3.5,2.1,3.3
episode,2.59,3.3,2.76,2.65,2.1,2.91,1.7,1.64,1.6,1.9,2.1,2.72,3.0,4.76
equality,4.66,5.0,5.85,5.35,3.3,5.38,2.0,1.64,1.9,2.3,1.9,3.44,4.12,4.12
error,3.34,3.55,2.85,4.65,2.0,4.06,1.8,1.64,1.5,1.9,2.1,2.31,3.79,2.96
escape,3.78,4.34,2.56,2.8,3.7,3.67,2.5,1.18,3.3,2.4,1.83,4.85,2.2,3.5
establishment,2.72,3.58,3.67,2.74,3.2,3.47,1.8,2.18,1.9,3.1,2.2,3.59,3.58,4.32
event,3.17,3.64,3.52,3.0,3.0,3.47,2.2,1.82,2.1,2.4,3.0,3.84,3.58,5.08
evidence,2.93,3.97,3.24,4.1,2.3,4.66,1.7,1.64,2.0,3.5,2.4,2.59,4.27,3.52
example,2.66,3.3,3.33,3.26,2.5,4.47,2.0,1.64,1.8,1.7,2.7,2.78,3.33,3.2
exception,3.69,3.45,2.97,4.23,3.3,3.63,1.6,1.64,1.5,1.6,1.8,2.53,3.64,3.0
exclusion,4.28,3.45,3.39,3.81,2.5,3.72,1.7,1.64,1.9,1.7,1.7,2.66,3.3,3.12
explanation,3.9,4.09,3.76,4.29,4.9,5.56,1.7,1.64,1.7,1.6,3.6,2.63,3.79,3.56
expression,4.97,4.21,4.85,3.68,4.9,5.31,2.9,1.64,1.8,3.3,3.1,2.75,3.48,2.68
extent,2.62,3.45,2.67,3.0,2.0,3.94,2.1,1.64,1.8,1.6,1.3,2.91,5.0,4.84
eyeball,2.41,3.48,2.12,2.03,3.5,1.97,3.8,2.55,3.9,5.6,2.2,3.19,2.42,1.64
fabric,1.73,3.1,1.77,2.46,1.9,2.22,3.3,3.91,4.8,5.0,3.0,4.43,2.9,1.9
fact,2.83,4.03,3.0,4.97,2.9,4.94,1.5,1.64,1.9,2.0,1.7,3.22,3.3,3.56
factory,2.28,3.06,2.91,1.58,1.1,1.81,2.2,3.18,3.1,5.0,4.3,4.16,4.0,2.44
faith,5.24,5.15,4.79,4.74,3.9,5.63,1.8,2.18,2.2,2.1,1.8,3.47,4.52,3.4
fallacy,3.34,3.24,3.12,4.35,2.1,4.09,1.6,1.64,1.5,1.7,1.5,2.09,3.42,2.32
fantasy,4.93,4.36,3.55,2.94,3.0,5.94,3.1,1.64,1.9,2.3,2.2,3.28,3.03,2.92
fat,3.36,4.1,2.77,2.69,2.9,3.29,1.8,3.09,4.1,5.2,1.3,3.58,5.7,2.6
fate,4.0,4.2,3.15,3.85,3.9,4.5,2.3,1.64,1.6,1.8,1.9,4.0,2.6,5.2
father,4.34,6.0,5.48,3.0,2.6,2.94,2.5,3.55,3.8,5.0,4.5,2.88,2.76,3.04
fear,5.36,4.3,2.31,3.54,4.4,5.29,1.9,2.0,1.7,1.6,2.9,2.72,2.1,2.8
fifteen,2.27,3.5,1.77,1.69,1.4,2.64,1.8,1.64,1.5,2.7,1.2,3.58,4.9,4.8
fight,4.27,4.4,4.92,4.0,4.4,3.28,2.2,2.0,3.7,3.3,4.1,3.29,3.0,3.3
figure,2.73,3.5,2.85,2.46,3.7,3.36,1.7,2.27,2.9,4.8,1.4,4.08,3.4,4.3
file,1.64,2.9,2.08,2.08,1.3,3.57,2.4,2.09,2.6,4.3,2.2,3.57,3.2,4.7
fireplace,2.21,4.12,2.0,1.58,2.1,1.72,4.5,4.09,3.3,6.1,5.5,3.91,3.0,2.04
fisherman,2.59,3.15,2.91,1.97,2.9,1.88,2.2,4.55,3.3,5.2,4.6,3.03,2.39,2.0
flask,1.93,3.03,1.73,1.58,2.1,1.5,2.8,4.55,3.8,5.7,2.1,2.34,2.73,1.8
flavor,3.37,4.5,2.15,2.46,2.0,3.21,2.9,4.45,3.7,1.6,1.2,4.5,3.2,2.6
fog,2.59,3.27,1.88,1.61,1.4,1.63,3.6,3.27,3.8,4.2,1.8,2.97,3.76,2.6
food,3.38,5.03,2.79,2.39,3.3,2.34,3.9,6.73,5.5,5.9,3.0,3.25,3.52,2.04
football,2.62,3.55,2.97,1.81,3.3,1.59,4.6,3.64,3.8,6.0,3.5,2.5,2.12,2.28
forest,2.69,4.24,2.09,1.58,2.3,2.03,6.0,5.18,4.4,5.9,3.2,5.19,4.27,2.64
form,2.09,3.3,1.92,2.31,2.0,3.29,1.6,1.64,2.6,3.0,1.3,4.07,3.0,3.7
foundation,2.27,2.9,2.46,3.39,2.5,2.57,1.7,2.73,2.2,3.0,1.3,4.29,3.4,4.0
fountain,2.14,3.61,2.21,1.58,1.9,1.75,4.5,3.36,3.9,5.5,5.8,4.63,3.06,2.16
freedom,5.45,5.85,4.76,5.84,5.0,5.53,2.9,2.09,1.7,1.7,2.3,3.75,4.79,3.6
friendship,5.91,6.4,6.38,4.77,3.7,5.14,3.1,2.09,2.2,2.1,3.2,4.79,3.4,4.9
frog,2.0,2.85,1.55,1.58,1.2,1.59,4.4,3.55,4.7,6.2,5.5,2.5,2.18,1.64
frustration,5.73,3.7,3.62,3.38,4.6,4.86,2.1,1.64,2.0,2.1,3.4,3.5,1.7,3.4
future,3.04,4.45,4.31,4.34,2.8,5.69,2.3,1.73,1.6,1.8,1.6,5.25,4.2,6.68
gender,3.66,3.7,4.21,2.9,2.2,2.81,3.1,2.73,2.3,3.5,1.7,2.88,2.39,2.56
genuine,4.0,5.5,3.08,4.39,2.7,5.08,2.3,2.09,1.5,1.9,1.3,4.93,2.3,3.2
germ,2.09,3.5,2.08,2.77,1.1,2.57,3.3,2.27,4.1,2.9,1.4,2.5,2.6,2.8
gesture,3.09,4.0,3.46,3.7,5.3,3.5,1.8,1.64,2.0,3.7,1.7,4.07,2.2,2.8
girl,3.38,4.45,4.3,2.13,2.5,2.59,4.7,4.18,3.6,5.5,4.5,2.78,2.97,2.32
gorilla,2.24,3.12,1.39,1.61,1.8,1.78,4.7,3.64,3.8,6.1,5.1,2.44,3.52,1.48
grammar,2.54,3.3,2.31,2.61,2.9,4.93,1.8,1.64,1.6,1.7,3.2,4.64,2.3,4.0
grandmother,4.41,5.24,5.36,2.48,1.9,2.63,2.4,4.0,3.4,5.3,4.1,2.91,2.45,3.0
grass,2.34,3.39,1.7,1.84,2.5,1.78,5.6,5.27,4.5,5.5,3.4,3.59,2.67,2.08
grasshopper,1.9,3.09,1.48,1.68,1.4,1.5,3.6,3.18,4.2,6.2,4.9,2.75,2.18,1.6
grief,6.0,4.4,3.54,3.46,4.1,4.79,2.1,1.64,1.8,2.1,3.4,3.22,2.1,3.8
group,2.36,3.3,5.77,2.92,3.0,3.36,1.9,2.0,1.8,4.0,3.9,4.14,4.6,2.7
guess,3.0,3.0,2.38,2.1,3.0,4.92,2.2,1.73,2.4,1.9,2.17,3.38,3.8,3.2
guide,1.91,3.5,3.38,3.16,3.8,3.86,1.9,1.64,2.1,2.7,3.8,4.93,2.3,3.2
guilt,5.91,4.4,3.85,4.0,2.9,5.07,1.7,1.64,1.8,1.9,1.9,2.65,1.9,2.9
gun,3.07,3.97,2.24,2.1,1.9,1.91,4.5,2.27,4.1,6.0,6.4,2.59,2.94,2.12
handkerchief,2.22,1.67,1.63,1.5,2.4,2.58,4.2,2.09,5.9,6.0,2.0,2.38,2.4,2.0
hat,1.97,2.91,1.94,1.52,1.9,1.56,3.9,3.09,4.5,6.2,1.9,2.91,3.15,2.08
hatred,5.6,6.5,3.67,4.29,2.1,4.83,2.4,1.64,1.8,1.9,2.0,2.57,3.0,2.0
hazard,2.45,3.3,3.15,3.08,1.3,3.5,3.7,1.64,1.8,2.7,2.3,2.79,3.5,3.2
heap,1.91,2.8,1.77,2.54,1.6,2.86,1.6,1.64,2.1,4.3,1.3,3.0,4.0,2.8
heart,4.72,4.39,4.61,4.1,3.7,3.03,4.2,2.36,3.1,5.6,4.3,3.91,3.48,2.64
helmet,2.14,2.52,1.73,2.16,2.0,1.59,2.8,3.0,4.6,5.3,2.1,2.63,2.61,1.76
helplessness,4.91,4.4,2.92,3.54,3.0,4.29,1.6,1.09,1.7,1.8,2.6,2.65,2.6,3.5
heresy,3.41,2.88,3.94,3.35,1.3,3.84,2.0,1.64,2.0,1.5,2.4,2.44,2.7,2.32
hierarchy,3.07,2.79,4.3,3.06,1.5,3.06,1.8,1.64,1.8,2.4,1.4,3.38,4.18,5.0
hobby,2.67,4.19,3.07,3.21,4.1,4.57,2.5,1.64,2.3,2.8,2.7,4.22,3.34,3.15
hog,2.27,2.8,2.23,2.54,1.0,2.0,3.6,3.45,3.4,6.1,5.6,2.14,3.3,1.3
holiday,4.07,4.88,4.39,2.19,1.5,2.09,3.2,2.64,1.6,2.2,3.3,3.38,3.06,4.48
honesty,5.38,5.73,5.52,6.13,3.9,5.53,2.1,1.64,1.7,1.6,2.6,3.66,3.88,3.28
hope,6.11,5.34,5.0,4.9,4.4,5.59,2.4,1.91,2.8,2.1,2.42,3.85,4.2,3.0
horse,2.48,3.64,1.73,1.61,2.2,1.66,4.7,5.09,5.0,6.3,5.3,2.81,3.64,1.68
hospital,3.41,4.0,4.03,2.0,1.2,2.41,2.4,5.0,3.3,4.8,3.8,5.09,3.45,1.84
hotel,2.21,3.52,2.7,1.61,1.4,1.63,2.5,4.55,3.8,6.3,3.0,4.81,3.88,1.64
hurricane,2.93,3.85,2.21,1.94,1.4,2.0,3.3,3.0,3.3,4.2,5.8,3.06,4.73,3.4
hurt,5.18,4.3,2.88,3.89,4.0,4.64,1.9,1.36,2.2,1.9,2.5,3.36,2.5,3.5
idea,4.14,4.76,3.36,4.0,5.0,6.47,2.0,1.64,2.1,1.7,2.6,3.63,4.82,3.64
identification,4.0,4.03,4.12,3.16,3.2,4.47,3.1,1.64,2.0,2.3,1.3,3.22,2.88,3.84
identity,4.79,4.45,5.0,4.19,4.7,5.25,1.5,2.0,1.6,1.8,1.9,3.13,3.24,3.72
idiom,3.07,3.03,3.03,1.84,1.7,4.75,1.8,1.64,1.7,1.7,2.0,2.56,2.48,2.8
ignition,2.09,2.9,2.15,2.15,1.8,2.22,2.9,1.64,2.8,3.6,3.6,3.5,1.9,3.2
ignorance,3.9,4.06,3.76,3.77,3.4,4.78,1.8,1.64,1.4,2.1,2.3,2.5,3.61,2.12
imagination,4.73,4.9,3.08,4.07,5.7,6.36,2.4,1.82,2.3,1.6,2.4,4.65,4.2,3.8
immortality,5.07,4.64,3.18,3.26,2.4,4.09,2.0,1.64,1.8,1.4,1.3,2.94,4.33,5.12
impairment,3.97,3.79,2.88,3.48,4.0,4.22,1.8,1.64,1.7,1.8,1.2,2.19,3.42,2.48
importance,4.48,4.3,4.15,4.68,3.2,4.81,2.5,1.64,1.8,2.0,1.8,3.44,4.97,4.4
impossibility,3.59,3.03,2.58,3.71,2.9,4.41,2.0,1.64,1.5,1.3,1.6,2.56,3.18,3.0
improvement,4.07,4.64,4.03,5.35,5.0,4.97,2.1,1.73,1.8,2.2,1.7,3.5,4.85,4.0
incentive,3.66,4.55,4.06,4.39,4.3,4.38,1.7,1.73,2.2,1.9,1.6,2.91,4.55,3.28
inch,1.94,2.21,1.63,2.25,2.7,2.0,1.6,1.64,1.8,3.3,1.2,3.86,5.6,4.8
incident,3.07,3.15,3.15,3.52,2.5,3.75,2.0,1.64,1.9,1.9,2.2,2.5,3.55,4.12
income,2.19,5.06,2.72,3.59,2.8,3.08,2.3,1.64,1.7,1.6,1.8,4.61,5.75,4.85
increase,2.78,3.92,2.0,2.7,2.8,3.42,2.3,1.55,2.1,2.2,3.17,4.62,5.7,5.3
independence,5.1,5.52,5.03,4.58,5.8,5.38,2.3,1.64,1.8,1.9,2.4,3.38,3.97,3.72
individual,3.63,4.95,3.94,5.13,4.6,4.63,2.3,2.27,2.7,4.1,3.5,3.89,3.44,3.55
industry,2.09,3.1,3.15,2.7,2.0,2.72,1.6,2.27,2.0,3.2,2.9,4.08,3.8,3.3
infection,1.92,2.64,2.36,2.63,2.1,2.88,3.5,2.36,2.8,4.0,1.6,2.9,4.2,3.53
information,3.41,4.67,3.82,4.39,3.8,5.63,2.7,1.64,1.6,2.3,2.5,3.59,4.61,3.96
injury,3.09,3.4,2.38,2.62,4.7,2.93,2.5,1.82,2.2,3.5,2.6,3.29,3.4,3.6
inn,2.09,3.0,2.85,1.92,1.5,2.36,2.2,3.18,2.5,4.4,1.6,3.43,2.7,2.7
insight,4.86,4.58,4.12,4.52,3.6,6.34,1.8,1.64,1.9,1.7,1.8,3.41,3.7,3.04
instance,2.11,2.33,2.44,2.4,2.5,3.17,2.3,1.36,2.5,2.4,2.08,3.62,4.1,5.3
instinct,4.52,4.21,3.73,4.26,4.4,4.38,1.8,1.64,2.1,1.9,1.9,3.03,2.97,2.6
institute,1.63,3.4,2.46,2.62,1.8,2.15,2.0,1.82,1.9,2.5,2.4,4.07,3.5,3.6
instructor,1.91,3.6,5.0,3.46,2.6,4.86,1.9,2.73,1.7,4.9,4.0,4.57,2.3,3.0
integrity,4.55,5.3,4.58,5.52,4.7,5.44,2.0,1.64,1.7,1.6,1.8,3.28,4.12,3.44
intelligence,4.28,5.76,4.58,5.03,5.2,6.16,2.3,1.64,1.7,1.6,1.9,3.44,5.39,3.92
intention,4.38,3.82,4.45,5.06,3.2,5.03,1.8,1.73,1.8,1.8,2.1,3.38,4.03,3.36
interaction,4.62,3.97,6.12,4.16,5.6,4.69,2.0,1.64,2.1,2.0,4.5,3.06,3.58,4.24
interior,2.5,2.87,2.41,2.17,1.9,3.44,2.4,3.09,1.5,3.0,1.3,4.37,3.24,3.03
interruption,3.0,3.3,3.18,2.81,3.8,3.06,2.3,1.64,1.8,1.9,3.8,2.44,2.67,4.2
introduction,3.14,3.12,3.7,2.42,3.0,4.0,1.7,1.64,2.1,2.1,2.3,3.56,2.91,4.16
iron,2.27,3.3,1.85,2.77,2.1,2.36,4.1,3.18,4.0,4.8,2.6,3.5,2.7,2.2
irony,4.1,3.45,3.15,2.58,2.8,4.53,1.5,1.82,1.4,1.6,1.8,2.72,2.73,2.6
irrigation,3.77,3.5,3.08,2.85,2.0,3.61,2.3,1.91,3.0,3.6,3.8,3.07,2.5,3.7
island,2.34,4.12,2.24,1.74,1.9,1.66,3.5,3.36,3.1,5.3,3.0,5.47,4.09,1.92
issue,3.22,3.25,2.75,4.1,2.7,4.92,2.1,1.82,1.8,2.5,2.42,3.31,4.0,3.6
itch,2.64,2.8,1.54,2.08,3.4,3.08,2.2,1.18,3.1,2.2,3.7,3.0,2.6,3.0
item,1.6,2.25,1.67,1.57,2.3,1.17,1.8,2.0,3.7,4.8,2.2,4.0,3.8,2.0
jacket,2.14,3.12,1.85,1.74,1.8,1.44,2.6,4.0,5.0,5.8,3.3,3.09,2.91,1.8
jerk,4.18,3.5,3.54,3.0,2.9,3.28,1.7,1.64,2.4,2.9,2.5,1.86,1.7,2.1
jewel,2.72,3.52,2.61,1.55,1.8,2.06,3.6,2.36,4.5,6.0,1.6,2.59,3.27,2.04
job,2.46,5.3,4.0,4.23,2.6,3.71,1.8,1.91,2.3,2.2,2.9,5.15,2.6,4.6
justice,5.1,5.39,5.18,5.81,4.4,5.13,1.8,1.64,1.8,1.8,2.1,3.91,3.85,3.52
justification,3.92,4.24,2.68,5.88,3.8,5.88,1.8,1.64,2.4,1.9,2.1,3.63,3.47,3.63
key,2.14,3.21,2.55,2.55,2.4,2.16,3.5,2.55,4.3,5.8,3.7,3.34,2.82,1.92
kindness,6.24,5.55,5.3,5.35,3.7,4.91,2.2,1.64,1.7,1.8,2.1,3.34,4.24,2.84
kite,2.24,3.15,2.12,1.52,1.9,1.63,4.0,2.64,5.1,6.5,3.4,3.19,2.33,2.16
kitten,3.38,4.48,2.0,1.74,1.5,1.94,3.6,4.09,5.8,6.1,5.8,3.09,2.94,1.68
knife,2.0,4.0,2.0,2.54,2.2,2.22,4.0,2.09,4.8,6.4,3.1,2.22,2.6,2.0
knowledge,4.0,5.36,4.94,5.16,5.2,6.34,1.8,1.64,1.5,1.6,2.3,3.91,5.36,4.52
lake,2.28,3.73,2.09,1.68,2.6,1.88,4.8,3.55,4.1,5.8,4.5,5.41,4.58,1.76
lamb,2.62,3.58,1.94,1.68,1.2,1.66,3.8,5.45,4.6,6.3,5.5,2.97,2.55,1.8
lamp,2.1,2.88,1.48,1.55,1.4,1.47,2.9,2.82,3.9,6.3,3.0,2.81,2.39,2.0
landscape,2.59,4.24,2.21,1.68,1.6,1.75,3.8,2.45,2.8,5.9,1.4,4.97,4.33,2.64
lane,1.73,2.6,1.92,2.15,1.4,1.79,2.3,1.73,2.1,5.0,1.8,4.36,3.1,2.6
latch,2.18,2.5,1.92,2.69,1.8,2.0,1.9,2.27,1.8,5.1,3.9,2.86,2.2,1.9
laughter,6.45,5.55,4.88,3.1,5.1,3.72,2.2,1.91,2.4,2.3,6.5,3.09,3.24,2.4
laundry,2.21,3.3,2.18,1.94,2.3,1.69,3.8,4.45,5.1,5.3,4.2,2.91,2.88,2.64
law,2.67,3.33,2.44,5.4,2.8,4.75,2.2,1.82,2.3,2.5,2.17,3.31,4.0,4.5
leader,2.73,4.1,4.39,4.31,3.1,4.22,1.7,2.36,1.9,3.5,2.0,4.22,2.5,3.1
leadership,4.31,4.94,5.0,4.26,3.7,4.94,2.1,1.64,1.8,1.8,3.0,3.59,3.82,4.44
legality,2.79,3.67,3.76,5.48,2.1,4.41,1.8,1.64,1.5,1.3,1.6,2.69,4.06,2.76
lemon,2.52,3.24,1.48,1.58,1.7,1.59,6.2,6.55,4.6,6.4,1.7,2.53,2.36,1.92
length,1.86,2.33,2.0,2.41,1.7,2.08,2.3,1.64,1.8,3.3,1.2,4.0,5.9,5.0
lens,1.63,2.5,2.08,2.0,1.5,2.29,2.8,2.0,3.6,5.2,1.7,3.86,2.8,2.3
leopard,2.52,3.48,1.52,1.68,1.4,1.78,4.9,3.18,3.8,6.2,5.1,2.47,2.91,1.68
lesson,2.45,4.0,3.0,4.85,2.3,4.64,2.1,1.64,1.8,2.2,2.7,3.93,3.5,3.8
lettuce,2.1,3.18,1.64,1.61,2.3,1.63,5.6,5.73,4.9,6.2,2.7,2.63,1.82,1.8
liar,4.92,3.84,3.99,4.17,1.7,4.0,2.0,1.64,1.5,2.9,4.0,2.75,3.4,2.18
lightning,2.41,4.0,1.79,1.84,1.6,1.97,4.9,2.0,3.6,5.0,5.7,3.06,3.97,2.84
lily,1.91,3.0,2.0,2.54,1.9,1.93,4.4,6.18,5.3,5.8,1.4,3.57,2.4,2.1
limitation,3.9,3.58,3.18,4.42,3.7,4.31,1.8,1.64,2.0,1.6,1.7,2.72,5.06,3.4
line,2.06,2.79,2.47,2.75,1.6,2.1,2.2,1.64,1.7,4.1,1.7,4.43,4.27,3.93
linen,2.11,1.84,1.75,1.5,2.8,2.58,4.6,2.91,5.8,5.5,2.17,2.31,3.2,2.4
lion,2.41,3.67,1.82,1.68,1.3,2.06,4.8,3.64,4.6,6.2,6.3,2.63,3.48,1.76
lip,2.59,3.21,2.97,1.55,3.2,1.59,3.9,4.36,5.1,5.5,1.7,3.38,2.52,2.08
lisp,1.79,2.87,1.57,2.0,2.8,3.0,1.9,1.64,2.2,1.6,5.2,2.79,2.7,2.0
literature,3.0,3.75,3.16,3.38,3.2,5.25,2.5,1.64,2.4,2.9,2.4,3.7,3.34,4.35
lizard,2.28,3.0,1.48,1.58,1.5,1.47,4.1,3.36,4.1,6.3,3.0,2.34,2.36,1.64
loafer,2.0,4.2,2.62,2.77,2.1,2.57,2.1,3.09,2.9,5.0,2.7,2.57,2.4,2.1
loan,1.91,4.5,3.84,2.84,1.8,2.93,2.0,1.64,1.6,1.7,1.4,4.15,4.3,5.0
lobster,2.0,3.33,1.61,1.61,1.6,1.94,5.3,5.18,5.6,6.1,3.2,2.44,3.27,1.8
location,2.76,3.45,2.7,2.65,2.7,2.25,1.9,2.36,2.3,3.8,1.6,5.22,3.48,3.24
lock,2.11,2.34,1.69,2.2,2.6,2.84,3.0,1.73,5.7,5.6,3.25,2.62,2.2,4.1
logic,4.07,5.45,4.21,4.87,3.5,6.06,1.7,1.64,1.6,1.9,1.8,3.47,3.73,4.4
love,6.44,6.08,6.38,5.2,4.9,5.5,3.4,1.82,2.8,2.3,3.0,3.62,6.1,4.2
lunch,2.18,4.3,2.93,2.46,2.2,2.86,2.4,5.82,3.5,4.5,2.3,4.43,3.5,5.1
macaroni,2.14,3.0,1.85,1.58,1.8,1.44,4.3,4.91,6.1,6.7,2.7,2.34,2.09,1.76
magic,3.78,3.17,3.0,2.3,2.4,4.0,2.7,1.73,2.5,2.9,2.92,3.15,4.1,2.2
magnitude,3.03,3.27,2.58,3.03,2.4,3.97,2.2,1.64,1.7,1.9,1.6,2.91,6.42,4.96
majority,3.07,3.42,3.79,2.9,2.0,4.03,1.5,1.64,1.6,1.7,2.1,2.78,5.73,3.2
malice,5.66,3.79,3.97,3.77,1.9,4.44,1.9,1.64,1.4,1.8,2.2,2.41,2.67,2.76
mankind,3.55,4.4,4.31,4.08,3.4,4.72,1.8,2.64,2.3,1.8,2.3,4.79,4.1,3.8
manner,4.11,4.33,3.62,4.5,2.8,4.92,2.2,1.82,2.3,2.1,2.17,3.0,3.8,2.8
mansion,2.59,3.18,2.52,1.74,1.8,1.69,2.5,3.45,3.4,4.9,1.4,4.75,5.06,2.36
march,2.09,3.3,1.85,2.16,2.4,2.65,2.0,1.91,2.0,2.0,3.6,4.07,2.6,5.4
margin,1.91,2.2,2.31,2.69,2.1,2.64,1.7,1.64,2.1,2.4,1.3,4.36,4.6,4.6
marriage,4.18,5.4,6.15,4.23,2.8,4.36,2.4,2.73,2.2,3.1,3.7,4.36,2.7,5.7
master,2.46,3.3,4.85,2.69,2.7,4.07,2.0,1.82,2.0,3.0,2.7,4.14,3.2,2.8
mastery,4.48,4.58,3.24,3.9,3.6,4.75,1.5,1.64,1.9,1.8,1.6,3.06,4.21,4.4
material,1.91,3.1,2.0,2.46,1.8,2.29,2.0,2.73,4.0,4.6,2.2,4.22,3.3,2.3
math,2.0,4.6,2.31,2.62,2.2,4.08,1.7,1.64,2.1,2.9,1.7,4.79,4.6,5.5
mattress,2.0,2.79,2.48,1.65,2.3,1.5,2.6,3.82,4.1,6.3,2.8,3.31,3.55,1.64
measure,2.0,3.0,2.37,2.45,2.7,3.85,1.9,1.64,1.8,2.8,2.4,4.24,5.93,5.53
medicine,2.67,3.67,2.56,2.5,3.4,4.42,2.6,4.0,5.8,5.6,2.0,2.77,3.7,4.4
meeting,2.46,3.8,4.61,2.84,2.1,3.65,1.6,2.18,2.5,2.9,3.9,3.72,2.9,4.8
member,2.46,4.4,5.0,3.69,2.6,2.86,1.7,2.36,2.7,4.4,4.1,3.86,2.1,2.8
memory,4.9,5.06,4.3,3.52,3.4,5.94,2.0,2.36,2.0,1.7,1.6,3.69,4.61,5.52
menu,1.93,3.58,2.03,1.97,2.0,1.91,2.8,3.45,2.5,5.0,2.2,2.94,3.79,3.2
mercy,5.62,5.12,5.24,4.77,3.0,4.97,2.3,1.64,1.9,1.8,2.4,2.91,3.85,2.6
message,2.34,3.27,4.05,2.75,3.6,4.19,2.1,1.64,1.6,3.5,4.6,3.82,3.6,3.55
metaphor,3.28,3.3,2.97,2.39,2.5,5.19,2.3,1.91,1.5,1.7,3.1,2.72,3.03,2.72
method,3.0,3.7,3.21,3.19,2.5,4.84,1.7,1.64,1.9,1.7,1.6,2.75,2.85,3.92
microscope,2.28,3.24,1.82,1.58,1.6,2.28,3.1,2.36,3.6,6.0,2.1,2.81,4.09,2.36
midnight,2.76,4.03,2.33,1.61,2.5,1.75,4.6,2.55,1.8,2.6,2.4,3.72,2.88,5.68
mile,2.09,2.7,1.69,2.61,2.0,3.14,1.8,1.64,2.4,2.8,1.9,3.43,5.6,4.9
mileage,2.46,2.7,1.77,2.39,1.6,2.21,1.5,1.64,2.3,1.7,1.8,3.22,5.2,5.2
mind,4.09,4.9,2.39,4.77,3.5,5.93,1.9,1.91,1.6,2.2,2.2,4.72,3.6,4.9
miracle,4.34,4.79,3.64,3.29,2.6,3.91,1.8,1.64,1.7,1.5,1.8,2.97,4.18,3.24
misery,5.27,4.3,2.3,4.31,3.6,5.21,2.4,1.64,2.5,1.8,2.4,2.79,3.2,3.1
missile,2.31,3.0,2.39,1.61,1.2,2.13,2.2,2.55,2.8,5.0,5.2,2.63,3.27,2.6
mold,2.0,2.9,1.69,3.08,1.5,2.22,3.9,4.64,5.3,5.3,1.7,2.57,3.0,2.7
moment,3.45,3.58,4.3,2.58,3.2,2.94,1.8,1.64,2.2,1.9,2.3,3.5,3.94,5.6
money,3.69,5.48,4.42,3.32,3.2,3.69,5.4,3.36,5.2,5.4,2.8,3.34,5.18,3.76
month,1.91,3.4,2.08,2.62,2.0,2.36,2.1,2.73,2.3,1.5,1.3,4.29,4.1,5.9
moonlight,2.76,4.36,2.09,1.68,2.5,2.38,3.7,2.64,2.0,4.9,1.7,3.84,2.76,3.2
moral,5.09,5.7,3.46,5.0,3.7,5.93,1.7,1.64,2.1,1.6,1.8,4.5,3.2,3.5
mosquito,2.34,3.36,1.42,1.55,1.7,1.72,3.4,2.09,3.7,6.1,4.8,2.38,2.73,1.64
mother,4.76,5.36,5.36,3.58,2.3,3.59,2.8,4.09,4.4,5.1,4.6,3.31,2.73,2.76
mountain,2.48,4.03,1.94,1.65,2.4,2.06,3.7,3.64,4.2,5.7,2.7,5.47,5.33,2.0
mud,1.73,3.8,1.54,2.54,1.4,2.57,4.2,4.73,4.3,5.3,3.2,2.5,2.3,2.3
murder,4.0,3.7,3.85,4.0,3.0,3.86,3.0,2.0,2.2,3.0,3.2,2.22,1.5,2.3
music,3.82,5.0,2.62,3.54,5.2,4.43,3.3,1.82,3.4,1.8,7.0,5.36,2.9,4.8
mustard,1.97,3.24,1.52,1.68,1.9,1.44,5.5,6.09,4.1,5.2,2.5,2.72,2.18,1.76
mystery,3.28,3.91,3.39,2.19,1.9,4.75,2.1,1.64,1.9,1.7,1.4,2.75,3.24,2.8
myth,3.28,3.82,2.73,2.39,2.2,5.06,3.2,1.64,1.8,1.7,2.7,2.41,2.79,3.36
name,2.27,4.5,3.54,2.38,3.7,2.57,1.8,1.64,1.5,2.5,3.6,4.65,2.1,2.7
nation,2.54,3.9,3.31,3.0,1.7,3.29,2.6,2.82,1.6,2.4,2.4,4.29,4.7,3.8
necessity,3.79,4.27,3.52,4.45,2.9,3.56,1.9,1.64,1.8,1.7,1.8,2.75,4.03,4.04
neck,2.07,3.24,2.55,1.58,3.3,1.78,2.4,2.73,3.5,5.8,1.7,3.97,2.73,1.84
necklace,2.41,3.18,1.91,1.58,2.7,1.69,3.5,2.55,4.5,6.3,2.1,2.94,2.94,2.04
neighborhood,3.27,3.8,4.54,2.84,1.9,3.0,1.7,2.73,2.4,4.1,4.2,5.0,4.5,3.0
